📡  电信频道,#genre#
深圳众创,http://14.19.151.48:8188/udp/239.77.1.247:5146
深圳移动电视,http://14.19.151.48:8188/udp/239.77.1.175:5146
潮州综合,http://14.19.151.48:8188/udp/239.253.43.70:5146
潮州民生,http://14.19.151.48:8188/udp/239.253.43.75:5146
梅州综合,http://14.19.151.48:8188/udp/239.253.43.123:5146
梅州客家,http://14.19.151.48:8188/udp/239.253.43.124:5146
韶关新闻,http://14.19.151.48:8188/udp/239.77.0.117:5146
韶关生活,http://14.19.151.48:8188/udp/239.77.0.119:5146
湛江新闻,http://14.19.151.48:8188/udp/239.77.0.141:5146
湛江公共,http://14.19.151.48:8188/udp/239.77.0.140:5146
揭阳综合,http://14.19.151.48:8188/udp/239.77.0.229:5146
揭阳公共,http://14.19.151.48:8188/udp/239.77.0.251:5146
江门综合,http://14.19.151.48:8188/udp/239.77.0.201:5146
江门生活,http://14.19.151.48:8188/udp/239.77.0.202:5146
惠州综合,http://14.19.151.48:8188/udp/239.77.1.232:5146
惠州生活,http://14.19.151.48:8188/udp/239.77.1.233:5146
汕尾新闻,http://14.19.151.48:8188/udp/239.77.0.25:5146
汕尾文化,http://14.19.151.48:8188/udp/239.77.0.187:5146
珠海综合,http://14.19.151.48:8188/udp/239.77.0.155:5146
珠海生活,http://14.19.151.48:8188/udp/239.77.0.154:5146
肇庆综合,http://14.19.151.48:8188/udp/239.253.43.1:5146
肇庆生活,http://14.19.151.48:8188/udp/239.253.43.2:5146
河源综合,http://14.19.151.48:8188/udp/239.253.43.213:5146
河源公共,http://14.19.151.48:8188/udp/239.253.43.214:5146
汕头综合,http://14.19.151.48:8188/udp/239.77.1.130:5146
汕头综合,http://14.19.151.48:8188/udp/239.253.43.45:5146
汕头生活,http://14.19.151.48:8188/udp/239.77.1.131:5146
汕头生活,http://14.19.151.48:8188/udp/239.253.43.46:5146
汕头文体,http://14.19.151.48:8188/udp/239.77.1.132:5146
汕头文体,http://14.19.151.48:8188/udp/239.253.43.47:5146
清远综合,http://14.19.151.48:8188/udp/239.253.43.33:5146
清远公共,http://14.19.151.48:8188/udp/239.253.43.34:5146
云浮综合,http://14.19.151.48:8188/udp/239.77.0.253:5146
云浮文旅,http://14.19.151.48:8188/udp/239.77.0.254:5146
茂名综合,http://14.19.151.48:8188/udp/239.77.0.206:5146
茂名公共,http://14.19.151.48:8188/udp/239.77.0.207:5146
佛山综合,http://14.19.151.48:8188/udp/239.253.43.57:5146
佛山公共,http://14.19.151.48:8188/udp/239.253.43.53:5146
佛山影视,http://14.19.151.48:8188/udp/239.253.43.56:5146
佛山顺德,http://14.19.151.48:8188/udp/239.253.43.55:5146
佛山南海,http://14.19.151.48:8188/udp/239.253.43.54:5146
中山综合,http://14.19.151.48:8188/udp/239.253.43.62:5146
香山文化,http://14.19.151.48:8188/udp/239.253.43.63:5146
东莞新闻,http://14.19.151.48:8188/udp/239.253.43.104:5146
东莞生活,http://14.19.151.48:8188/udp/239.253.43.105:5146
湖南卫视,http://14.19.151.48:8188/udp/239.77.1.5:5146
湖南卫视,http://14.19.151.48:8188/udp/239.77.1.129:5146
湖南卫视,http://14.19.151.48:8188/udp/239.77.0.88:5146
湖南卫视,http://14.19.151.48:8188/udp/239.77.0.127:5146
浙江卫视,http://14.19.151.48:8188/udp/239.77.1.33:5146
浙江卫视,http://14.19.151.48:8188/udp/239.77.1.150:5146
浙江卫视,http://14.19.151.48:8188/udp/239.77.0.89:5146
浙江卫视,http://14.19.151.48:8188/udp/239.77.0.125:5146
江苏卫视,http://14.19.151.48:8188/udp/239.77.1.18:5146
江苏卫视,http://14.19.151.48:8188/udp/239.77.1.149:5146
江苏卫视,http://14.19.151.48:8188/udp/239.77.0.90:5146
江苏卫视,http://14.19.151.48:8188/udp/239.77.0.126:5146
东方卫视,http://14.19.151.48:8188/udp/239.77.1.218:5146
东方卫视,http://14.19.151.48:8188/udp/239.77.1.156:5146
东方卫视,http://14.19.151.48:8188/udp/239.77.0.98:5146
安徽卫视,http://14.19.151.48:8188/udp/239.77.1.92:5146
安徽卫视,http://14.19.151.48:8188/udp/239.77.1.157:5146
安徽卫视,http://14.19.151.48:8188/udp/239.77.0.183:5146
北京卫视,http://14.19.151.48:8188/udp/239.77.1.4:5146
北京卫视,http://14.19.151.48:8188/udp/239.77.1.151:5146
北京卫视,http://14.19.151.48:8188/udp/239.77.0.91:5146
天津卫视,http://14.19.151.48:8188/udp/239.77.1.141:5146
天津卫视,http://14.19.151.48:8188/udp/239.77.1.182:5146
天津卫视,http://14.19.151.48:8188/udp/239.77.0.97:5146
天津卫视,http://14.19.151.48:8188/udp/239.77.0.131:5146
山东卫视,http://14.19.151.48:8188/udp/239.77.1.142:5146
山东卫视,http://14.19.151.48:8188/udp/239.77.1.153:5146
山东卫视,http://14.19.151.48:8188/udp/239.77.0.94:5146
山东卫视,http://14.19.151.48:8188/udp/239.77.0.132:5146
江西卫视,http://14.19.151.48:8188/udp/239.77.1.219:5146
江西卫视,http://14.19.151.48:8188/udp/239.77.0.149:5146
湖北卫视,http://14.19.151.48:8188/udp/239.77.1.93:5146
湖北卫视,http://14.19.151.48:8188/udp/239.77.1.174:5146
湖北卫视,http://14.19.151.48:8188/udp/239.77.0.95:5146
湖北卫视,http://14.19.151.48:8188/udp/239.77.0.128:5146
辽宁卫视,http://14.19.151.48:8188/udp/239.77.1.103:5146
辽宁卫视,http://14.19.151.48:8188/udp/239.77.0.123:5146
辽宁卫视,http://14.19.151.48:8188/udp/239.77.0.161:5146
贵州卫视,http://14.19.151.48:8188/udp/239.77.1.221:5146
贵州卫视,http://14.19.151.48:8188/udp/239.77.0.230:5146
四川卫视,http://14.19.151.48:8188/udp/239.77.1.215:5146
四川卫视,http://14.19.151.48:8188/udp/239.77.0.159:5146
四川卫视,http://14.19.151.48:8188/udp/239.77.0.163:5146
河南卫视,http://14.19.151.48:8188/udp/239.77.1.229:5146
河南卫视,http://14.19.151.48:8188/udp/239.77.0.17:5146
云南卫视,http://14.19.151.48:8188/udp/239.253.43.37:5146
云南卫视,http://14.19.151.48:8188/udp/239.253.43.100:5146
重庆卫视,http://14.19.151.48:8188/udp/239.77.1.162:5146
重庆卫视,http://14.19.151.48:8188/udp/239.77.1.210:5146
重庆卫视,http://14.19.151.48:8188/udp/239.77.0.182:5146
河北卫视,http://14.19.151.48:8188/udp/239.77.1.214:5146
河北卫视,http://14.19.151.48:8188/udp/239.77.0.148:5146
东南卫视,http://14.19.151.48:8188/udp/239.77.1.104:5146
东南卫视,http://14.19.151.48:8188/udp/239.77.0.146:5146
广西卫视,http://14.19.151.48:8188/udp/239.253.43.36:5146
广西卫视,http://14.19.151.48:8188/udp/239.77.0.139:5146
吉林卫视,http://14.19.151.48:8188/udp/239.77.1.111:5146
吉林卫视,http://14.19.151.48:8188/udp/239.77.0.150:5146
陕西卫视,http://14.19.151.48:8188/udp/239.77.0.68:5146
陕西卫视,http://14.19.151.48:8188/udp/239.77.1.54:5146
山西卫视,http://14.19.151.48:8188/udp/239.77.0.69:5146
山西卫视,http://14.19.151.48:8188/udp/239.77.1.74:5146
青海卫视,http://14.19.151.48:8188/udp/239.77.0.71:5146
青海卫视,http://14.19.151.48:8188/udp/239.77.1.70:5146
海南卫视,http://14.19.151.48:8188/udp/239.253.43.35:5146
海南卫视,http://14.19.151.48:8188/udp/239.253.43.101:5146
宁夏卫视,http://14.19.151.48:8188/udp/239.77.0.73:5146
宁夏卫视,http://14.19.151.48:8188/udp/239.77.1.47:5146
西藏卫视,http://14.19.151.48:8188/udp/239.77.0.74:5146
西藏卫视,http://14.19.151.48:8188/udp/239.77.1.49:5146
新疆卫视,http://14.19.151.48:8188/udp/239.77.0.75:5146
新疆卫视,http://14.19.151.48:8188/udp/239.77.1.53:5146
甘肃卫视,http://14.19.151.48:8188/udp/239.77.0.189:5146
兵团卫视,http://14.19.151.48:8188/udp/239.77.0.77:5146
兵团卫视,http://14.19.151.48:8188/udp/239.77.1.80:5146
厦门卫视,http://14.19.151.48:8188/udp/239.77.0.96:5146
三沙卫视,http://14.19.151.48:8188/udp/239.253.43.113:5146
延边卫视,http://14.19.151.48:8188/udp/239.77.0.10:5146
延边卫视,http://14.19.151.48:8188/udp/239.77.1.99:5146
内蒙古卫视,http://14.19.151.48:8188/udp/239.77.0.70:5146
内蒙古卫视,http://14.19.151.48:8188/udp/239.77.1.55:5146
黑龙江卫视,http://14.19.151.48:8188/udp/239.77.1.6:5146
黑龙江卫视,http://14.19.151.48:8188/udp/239.77.1.179:5146
黑龙江卫视,http://14.19.151.48:8188/udp/239.77.0.93:5146
黑龙江卫视,http://14.19.151.48:8188/udp/239.77.0.124:5146
CETV1,http://14.19.151.48:8188/udp/239.77.1.222:5146
CETV1,http://14.19.151.48:8188/udp/239.77.0.200:5146
CETV2,http://14.19.151.48:8188/udp/239.77.0.28:5146
CETV2,http://14.19.151.48:8188/udp/239.77.1.69:5146
CETV4,http://14.19.151.48:8188/udp/239.77.1.200:5146
CETV4,http://14.19.151.48:8188/udp/239.253.43.40:5146
CETV4,http://14.19.151.48:8188/udp/239.253.43.114:5146
CETV早期教育,http://14.19.151.48:8188/udp/239.77.0.180:5146
CCTV兵器科技,http://14.19.151.48:8188/udp/239.253.43.18:5146
CCTV兵器科技,http://14.19.151.48:8188/udp/239.253.43.9:5146
CCTV电视指南,http://14.19.151.48:8188/udp/239.253.43.19:5146
CCTV电视指南,http://14.19.151.48:8188/udp/239.253.43.10:5146
CCTV风云足球,http://14.19.151.48:8188/udp/239.253.43.20:5146
CCTV风云足球,http://14.19.151.48:8188/udp/239.253.43.14:5146
CCTV央视台球,http://14.19.151.48:8188/udp/239.253.43.21:5146
CCTV央视台球,http://14.19.151.48:8188/udp/239.253.43.11:5146
CCTV高尔夫网球,http://14.19.151.48:8188/udp/239.253.43.22:5146
CCTV高尔夫网球,http://14.19.151.48:8188/udp/239.253.43.12:5146
CCTV女性时尚,http://14.19.151.48:8188/udp/239.253.43.23:5146
CCTV女性时尚,http://14.19.151.48:8188/udp/239.253.43.8:5146
CCTV世界地理,http://14.19.151.48:8188/udp/239.253.43.24:5146
