997k  183.30.200.53:10250
996k  183.30.200.126:10250
996k  183.30.200.111:10250
994k  183.30.200.39:10250
988k  183.30.200.114:10250
976k  183.30.200.147:10250
975k  183.30.200.27:10250
970k  183.30.200.10:10250
960k  183.30.200.236:10250
958k  183.30.200.221:10250
956k  183.30.200.156:10250
955k  183.30.200.163:10250
